location,estimate_type,year,grilse,adults,totals
Iron Gate Hatchery  (IGH),Spawner Escapement,1978,925.0,6945.0,7870.0
Iron Gate Hatchery  (IGH),Spawner Escapement,1979,257.0,2301.0,2558.0
Iron Gate Hatchery  (IGH),Spawner Escapement,1980,451.0,2412.0,2863.0
Trinity River Hatchery (TRH),Spawner Escapement,1978,1325.0,6034.0,7359.0
Trinity River Hatchery (TRH),Spawner Escapement,1979,964.0,1335.0,2299.0
Trinity River Hatchery (TRH),Spawner Escapement,1980,2256.0,4099.0,6355.0
Hatchery Spawners Subtotals,Spawner Escapement,1978,,2250.0,12979.0
Hatchery Spawners Subtotals,Spawner Escapement,1979,15229.0,1221.0,3636.0
Hatchery Spawners Subtotals,Spawner Escapement,1980,4857.0,2707.0,6511.0
Hatchery Spawners Subtotals,Spawner Escapement,1978,9218.0,,
Hatchery Spawners Subtotals,Spawner Escapement,1979,,4712.0,31052.0
Hatchery Spawners Subtotals,Spawner Escapement,1980,35764.0,3936.0,8028.0
Hatchery Spawners Subtotals,Spawner Escapement,1978,11964.0,16837.0,7700.0
Hatchery Spawners Subtotals,Spawner Escapement,1979,24537.0,,1400.0
Hatchery Spawners Subtotals,Spawner Escapement,1980,2600.0,4000.0,150.0
Hatchery Spawners Subtotals,Spawner Escapement,1978,1000.0,1150.0,200.0
Hatchery Spawners Subtotals,Spawner Escapement,1979,800.0,1000.0,
Hatchery Spawners Subtotals,Spawner Escapement,1980,1909.0,3423.0,5332.0
Hatchery Spawners Subtotals,Spawner Escapement,1978,428.0,3396.0,3824.0
Hatchery Spawners Subtotals,Spawner Escapement,1979,2245.0,2032.0,4277.0
Hatchery Spawners Subtotals,Spawner Escapement,1980,,6707.0,12024.0
Hatchery Spawners Subtotals,Spawner Escapement,1978,18731.0,1040.0,7111.0
Hatchery Spawners Subtotals,Spawner Escapement,1979,8151.0,4334.0,3762.0
Hatchery Spawners Subtotals,Spawner Escapement,1980,8096.0,,651.0
Hatchery Spawners Subtotals,Spawner Escapement,1978,4928.0,5579.0,494.0
Hatchery Spawners Subtotals,Spawner Escapement,1979,5444.0,5938.0,1749.0
Hatchery Spawners Subtotals,Spawner Escapement,1980,3321.0,5070.0,
Hatchery Spawners Subtotals,Spawner Escapement,1978,,300.0,1700.0
Hatchery Spawners Subtotals,Spawner Escapement,1979,2000.0,466.0,4190.0
Hatchery Spawners Subtotals,Spawner Escapement,1980,4656.0,867.0,2468.0
Hatchery Spawners Subtotals,Spawner Escapement,1978,3335.0,,
Hatchery Spawners Subtotals,Spawner Escapement,1979,735.0,2765.0,3500.0
Hatchery Spawners Subtotals,Spawner Escapement,1980,147.0,1068.0,1215.0
Hatchery Spawners Subtotals,Spawner Escapement,1978,500.0,1000.0,1500.0
Hatchery Spawners Subtotals,Spawner Escapement,1979,,,
Hatchery Spawners Subtotals,Spawner Escapement,1980,,,
Hatchery Spawners Subtotals,Spawner Escapement,1978,,,
Hatchery Spawners Subtotals,Spawner Escapement,1979,,,
Hatchery Spawners Subtotals,Spawner Escapement,1980,,16414.0,58492.0
Hatchery Spawners Subtotals,Spawner Escapement,1978,74906.0,6761.0,30637.0
Hatchery Spawners Subtotals,Spawner Escapement,1979,37398.0,26982.0,21483.0
Hatchery Spawners Subtotals,Spawner Escapement,1980,48465.0,,18664.0
Iron Gate Hatchery  (IGH),Spawner Escapement,1981,540.0,2055.0,2595.0
Iron Gate Hatchery  (IGH),Spawner Escapement,1982,1833.0,8353.0,10186.0
Iron Gate Hatchery  (IGH),Spawner Escapement,1983,514.0,8371.0,8885.0
Trinity River Hatchery (TRH),Spawner Escapement,1981,1004.0,2370.0,3374.0
Trinity River Hatchery (TRH),Spawner Escapement,1982,4235.0,2058.0,6293.0
Trinity River Hatchery (TRH),Spawner Escapement,1983,271.0,5494.0,5765.0
Hatchery Spawners Subtotals,Spawner Escapement,1981,,1544.0,4425.0
Hatchery Spawners Subtotals,Spawner Escapement,1982,5969.0,6068.0,10411.0
Hatchery Spawners Subtotals,Spawner Escapement,1983,16479.0,785.0,13865.0
Hatchery Spawners Subtotals,Spawner Escapement,1981,14650.0,,
Hatchery Spawners Subtotals,Spawner Escapement,1982,,5906.0,15340.0
Hatchery Spawners Subtotals,Spawner Escapement,1983,21246.0,8149.0,9274.0
Hatchery Spawners Subtotals,Spawner Escapement,1981,17423.0,853.0,17284.0
Hatchery Spawners Subtotals,Spawner Escapement,1982,18137.0,,450.0
Hatchery Spawners Subtotals,Spawner Escapement,1983,750.0,1200.0,300.0
Hatchery Spawners Subtotals,Spawner Escapement,1981,1000.0,1300.0,75.0
Hatchery Spawners Subtotals,Spawner Escapement,1982,1200.0,1275.0,
Hatchery Spawners Subtotals,Spawner Escapement,1983,3409.0,3147.0,6556.0
Hatchery Spawners Subtotals,Spawner Escapement,1981,4350.0,5826.0,10176.0
Hatchery Spawners Subtotals,Spawner Escapement,1982,170.0,3398.0,3568.0
Hatchery Spawners Subtotals,Spawner Escapement,1983,,4330.0,7890.0
Hatchery Spawners Subtotals,Spawner Escapement,1981,12220.0,1922.0,6533.0
Hatchery Spawners Subtotals,Spawner Escapement,1982,8455.0,753.0,3119.0
Hatchery Spawners Subtotals,Spawner Escapement,1983,3872.0,,912.0
Hatchery Spawners Subtotals,Spawner Escapement,1981,2730.0,3642.0,2325.0
Hatchery Spawners Subtotals,Spawner Escapement,1982,4818.0,7143.0,335.0
Hatchery Spawners Subtotals,Spawner Escapement,1983,2713.0,3048.0,
Hatchery Spawners Subtotals,Spawner Escapement,1981,,1000.0,3000.0
Hatchery Spawners Subtotals,Spawner Escapement,1982,4000.0,1000.0,3000.0
